Date,Store,Product,Stock
6/19/20,Lamar,Chicken W Sweet Pot and Green Beans Large,10
6/19/20,Lamar,Chicken Chili Enchiladas with Rice Large,9
6/21/20,Lamar,Bison Quinoa Hash,23
6/21/20,Lamar,Veggie Taco Hash,20
6/21/20,Lamar,Turk Meatloaf,9
6/21/20,Lamar,Turkey Chili,17
6/21/20,Lamar,Turkey Bolognese,21
6/21/20,Lamar,Turkey Quinoa Hash,13
6/21/20,Lamar,Chicken Fried Broccoli Rice,23
6/21/20,Lamar,Grass-Fed Beef Taco Hash,15
6/21/20,Lamar,Turkey Meatloaf Rice and Beans Large,11
6/21/20,Lamar,Spaghetti Bolognese Large,14
6/21/20,Lamar,Pesto Chicken Pasta Large,14
6/21/20,Lamar,Chicken W Sweet Pot and Green Beans Large,13
6/21/20,Lamar,Chicken Chili Enchiladas with Rice Large,13
6/23/20,Lamar,Bison Quinoa Hash,11
6/23/20,Lamar,Veggie Taco Hash,11
6/23/20,Lamar,Turk Meatloaf,5
6/23/20,Lamar,Turkey Chili,7
6/23/20,Lamar,Turkey Bolognese,8
6/23/20,Lamar,Turkey Quinoa Hash,8
6/23/20,Lamar,Chicken Fried Broccoli Rice,10
6/23/20,Lamar,Grass-Fed Beef Taco Hash,7
6/23/20,Lamar,Turkey Meatloaf Rice and Beans Large,6
6/23/20,Lamar,Spaghetti Bolognese Large,4
6/23/20,Lamar,Pesto Chicken Pasta Large,6
6/23/20,Lamar,Chicken W Sweet Pot and Green Beans Large,8
6/23/20,Lamar,Chicken Chili Enchiladas with Rice Large,6
6/24/20,Lamar,Bison Quinoa Hash,19
6/24/20,Lamar,Veggie Taco Hash,19
6/24/20,Lamar,Turk Meatloaf,9
6/24/20,Lamar,Turkey Chili,12
6/24/20,Lamar,Turkey Bolognese,15
6/24/20,Lamar,Turkey Quinoa Hash,9
6/24/20,Lamar,Chicken Fried Broccoli Rice,18
6/24/20,Lamar,Grass-Fed Beef Taco Hash,11
6/24/20,Lamar,Turkey Meatloaf Rice and Beans Large,8
6/24/20,Lamar,Spaghetti Bolognese Large,8
6/24/20,Lamar,Pesto Chicken Pasta Large,8
6/24/20,Lamar,Chicken W Sweet Pot and Green Beans Large,12
6/24/20,Lamar,Chicken Chili Enchiladas with Rice Large,8
6/26/20,Lamar,Bison Quinoa Hash,19
6/26/20,Lamar,Veggie Taco Hash,23
6/26/20,Lamar,Turk Meatloaf,8
6/26/20,Lamar,Turkey Chili,16
6/26/20,Lamar,Turkey Bolognese,19
6/26/20,Lamar,Turkey Quinoa Hash,10
6/26/20,Lamar,Chicken Fried Broccoli Rice,21
6/26/20,Lamar,Grass-Fed Beef Taco Hash,12
6/26/20,Lamar,Turkey Meatloaf Rice and Beans Large,10
6/26/20,Lamar,Spaghetti Bolognese Large,13
6/26/20,Lamar,Pesto Chicken Pasta Large,13
6/26/20,Lamar,Chicken W Sweet Pot and Green Beans Large,13
6/26/20,Lamar,Chicken Chili Enchiladas with Rice Large,13
6/28/20,Lamar,Bison Quinoa Hash,22
6/28/20,Lamar,Veggie Taco Hash,20
6/28/20,Lamar,Turk Meatloaf,9
6/28/20,Lamar,Turkey Chili,18
6/28/20,Lamar,Turkey Bolognese,21
6/28/20,Lamar,Turkey Quinoa Hash,13
6/28/20,Lamar,Chicken Fried Broccoli Rice,21
6/28/20,Lamar,Grass-Fed Beef Taco Hash,16
6/28/20,Lamar,Turkey Meatloaf Rice and Beans Large,11
6/28/20,Lamar,Spaghetti Bolognese Large,13
6/28/20,Lamar,Pesto Chicken Pasta Large,13
6/28/20,Lamar,Chicken W Sweet Pot and Green Beans Large,15
6/28/20,Lamar,Chicken Chili Enchiladas with Rice Large,13
6/30/20,Lamar,Bison Quinoa Hash,11
6/30/20,Lamar,Veggie Taco Hash,10
6/30/20,Lamar,Turk Meatloaf,4
6/30/20,Lamar,Turkey Chili,7
6/30/20,Lamar,Turkey Bolognese,8
6/30/20,Lamar,Turkey Quinoa Hash,7
6/30/20,Lamar,Chicken Fried Broccoli Rice,10
6/30/20,Lamar,Grass-Fed Beef Taco Hash,6
6/30/20,Lamar,Turkey Meatloaf Rice and Beans Large,5
6/30/20,Lamar,Spaghetti Bolognese Large,4
6/30/20,Lamar,Pesto Chicken Pasta Large,5
6/30/20,Lamar,Chicken W Sweet Pot and Green Beans Large,7
6/30/20,Lamar,Chicken Chili Enchiladas with Rice Large,6
7/1/20,Lamar,Bison Quinoa Hash,18
7/1/20,Lamar,Veggie Taco Hash,18
7/1/20,Lamar,Turk Meatloaf,9
7/1/20,Lamar,Turkey Chili,12
7/1/20,Lamar,Turkey Bolognese,16
7/1/20,Lamar,Turkey Quinoa Hash,10
7/1/20,Lamar,Chicken Fried Broccoli Rice,17
7/1/20,Lamar,Grass-Fed Beef Taco Hash,11
7/1/20,Lamar,Turkey Meatloaf Rice and Beans Large,9
7/1/20,Lamar,Spaghetti Bolognese Large,7
7/1/20,Lamar,Pesto Chicken Pasta Large,8
7/1/20,Lamar,Chicken W Sweet Pot and Green Beans Large,12
7/1/20,Lamar,Chicken Chili Enchiladas with Rice Large,9
7/3/20,Lamar,Bison Quinoa Hash,11
7/3/20,Lamar,Veggie Taco Hash,11
7/3/20,Lamar,Turk Meatloaf,5
7/3/20,Lamar,Turkey Chili,7
7/3/20,Lamar,Turkey Bolognese,11
7/3/20,Lamar,Turkey Quinoa Hash,7
7/3/20,Lamar,Chicken Fried Broccoli Rice,9
7/3/20,Lamar,Grass-Fed Beef Taco Hash,8
7/3/20,Lamar,Turkey Meatloaf Rice and Beans Large,5
7/3/20,Lamar,Spaghetti Bolognese Large,6
7/3/20,Lamar,Pesto Chicken Pasta Large,5
7/3/20,Lamar,Chicken W Sweet Pot and Green Beans Large,6
7/3/20,Lamar,Chicken Chili Enchiladas with Rice Large,6
7/5/20,Lamar,Bison Quinoa Hash,25
7/5/20,Lamar,Veggie Taco Hash,22
7/5/20,Lamar,Turk Meatloaf,12
7/5/20,Lamar,Turkey Chili,24
7/5/20,Lamar,Turkey Bolognese,24
7/5/20,Lamar,Turkey Quinoa Hash,16
7/5/20,Lamar,Chicken Fried Broccoli Rice,24
7/5/20,Lamar,Grass-Fed Beef Taco Hash,18
7/5/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/5/20,Lamar,Spaghetti Bolognese Large,18
7/5/20,Lamar,Pesto Chicken Pasta Large,14
7/5/20,Lamar,Chicken W Sweet Pot and Green Beans Large,18
7/5/20,Lamar,Chicken Chili Enchiladas with Rice Large,18
7/7/20,Lamar,Bison Quinoa Hash,14
7/7/20,Lamar,Veggie Taco Hash,14
7/7/20,Lamar,Turk Meatloaf,14
7/7/20,Lamar,Turkey Chili,14
7/7/20,Lamar,Turkey Bolognese,14
7/7/20,Lamar,Turkey Quinoa Hash,14
7/7/20,Lamar,Chicken Fried Broccoli Rice,14
7/7/20,Lamar,Grass-Fed Beef Taco Hash,14
7/7/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/7/20,Lamar,Spaghetti Bolognese Large,14
7/7/20,Lamar,Pesto Chicken Pasta Large,14
7/7/20,Lamar,Chicken W Sweet Pot and Green Beans Large,14
7/7/20,Lamar,Chicken Chili Enchiladas with Rice Large,14
7/8/20,Lamar,Bison Quinoa Hash,19
7/8/20,Lamar,Veggie Taco Hash,19
7/8/20,Lamar,Turk Meatloaf,10
7/8/20,Lamar,Turkey Chili,14
7/8/20,Lamar,Turkey Bolognese,16
7/8/20,Lamar,Turkey Quinoa Hash,10
7/8/20,Lamar,Chicken Fried Broccoli Rice,17
7/8/20,Lamar,Grass-Fed Beef Taco Hash,12
7/8/20,Lamar,Turkey Meatloaf Rice and Beans Large,10
7/8/20,Lamar,Spaghetti Bolognese Large,12
7/8/20,Lamar,Pesto Chicken Pasta Large,10
7/8/20,Lamar,Chicken W Sweet Pot and Green Beans Large,13
7/8/20,Lamar,Chicken Chili Enchiladas with Rice Large,12
7/10/20,Lamar,Bison Quinoa Hash,24
7/10/20,Lamar,Veggie Taco Hash,24
7/10/20,Lamar,Turk Meatloaf,18
7/10/20,Lamar,Turkey Chili,18
7/10/20,Lamar,Turkey Bolognese,24
7/10/20,Lamar,Turkey Quinoa Hash,20
7/10/20,Lamar,Chicken Fried Broccoli Rice,18
7/10/20,Lamar,Grass-Fed Beef Taco Hash,18
7/10/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/10/20,Lamar,Spaghetti Bolognese Large,14
7/10/20,Lamar,Pesto Chicken Pasta Large,14
7/10/20,Lamar,Chicken W Sweet Pot and Green Beans Large,14
7/10/20,Lamar,Chicken Chili Enchiladas with Rice Large,18
7/12/20,Lamar,Bison Quinoa Hash,24
7/12/20,Lamar,Veggie Taco Hash,24
7/12/20,Lamar,Turk Meatloaf,11
7/12/20,Lamar,Turkey Chili,24
7/12/20,Lamar,Turkey Bolognese,24
7/12/20,Lamar,Turkey Quinoa Hash,16
7/12/20,Lamar,Chicken Fried Broccoli Rice,24
7/12/20,Lamar,Grass-Fed Beef Taco Hash,19
7/12/20,Lamar,Turkey Meatloaf Rice and Beans Large,13
7/12/20,Lamar,Spaghetti Bolognese Large,17
7/12/20,Lamar,Pesto Chicken Pasta Large,16
7/12/20,Lamar,Chicken W Sweet Pot and Green Beans Large,19
7/12/20,Lamar,Chicken Chili Enchiladas with Rice Large,16
7/14/20,Lamar,Bison Quinoa Hash,14
7/14/20,Lamar,Veggie Taco Hash,14
7/14/20,Lamar,Turk Meatloaf,14
7/14/20,Lamar,Turkey Chili,14
7/14/20,Lamar,Turkey Bolognese,14
7/14/20,Lamar,Turkey Quinoa Hash,14
7/14/20,Lamar,Chicken Fried Broccoli Rice,14
7/14/20,Lamar,Grass-Fed Beef Taco Hash,14
7/14/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/14/20,Lamar,Spaghetti Bolognese Large,14
7/14/20,Lamar,Pesto Chicken Pasta Large,14
7/14/20,Lamar,Chicken W Sweet Pot and Green Beans Large,14
7/14/20,Lamar,Chicken Chili Enchiladas with Rice Large,14
7/15/20,Lamar,Bison Quinoa Hash,25
7/15/20,Lamar,Veggie Taco Hash,23
7/15/20,Lamar,Turk Meatloaf,12
7/15/20,Lamar,Turkey Chili,15
7/15/20,Lamar,Turkey Bolognese,20
7/15/20,Lamar,Turkey Quinoa Hash,14
7/15/20,Lamar,Chicken Fried Broccoli Rice,21
7/15/20,Lamar,Grass-Fed Beef Taco Hash,14
7/15/20,Lamar,Turkey Meatloaf Rice and Beans Large,12
7/15/20,Lamar,Spaghetti Bolognese Large,10
7/15/20,Lamar,Pesto Chicken Pasta Large,12
7/15/20,Lamar,Chicken W Sweet Pot and Green Beans Large,15
7/15/20,Lamar,Chicken Chili Enchiladas with Rice Large,13
7/17/20,Lamar,Bison Quinoa Hash,50
7/17/20,Lamar,Veggie Taco Hash,46
7/17/20,Lamar,Turk Meatloaf,24
7/17/20,Lamar,Turkey Chili,30
7/17/20,Lamar,Turkey Bolognese,40
7/17/20,Lamar,Turkey Quinoa Hash,28
7/17/20,Lamar,Chicken Fried Broccoli Rice,42
7/17/20,Lamar,Grass-Fed Beef Taco Hash,28
7/17/20,Lamar,Turkey Meatloaf Rice and Beans Large,24
7/17/20,Lamar,Spaghetti Bolognese Large,24
7/17/20,Lamar,Pesto Chicken Pasta Large,24
7/17/20,Lamar,Chicken W Sweet Pot and Green Beans Large,30
7/17/20,Lamar,Chicken Chili Enchiladas with Rice Large,26
7/19/20,Lamar,Bison Quinoa Hash,26
7/19/20,Lamar,Veggie Taco Hash,26
7/19/20,Lamar,Turk Meatloaf,11
7/19/20,Lamar,Turkey Chili,26
7/19/20,Lamar,Turkey Bolognese,27
7/19/20,Lamar,Turkey Quinoa Hash,20
7/19/20,Lamar,Chicken Fried Broccoli Rice,30
7/19/20,Lamar,Grass-Fed Beef Taco Hash,21
7/19/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/19/20,Lamar,Spaghetti Bolognese Large,16
7/19/20,Lamar,Pesto Chicken Pasta Large,15
7/19/20,Lamar,Chicken W Sweet Pot and Green Beans Large,23
7/19/20,Lamar,Chicken Chili Enchiladas with Rice Large,18
7/21/20,Lamar,Bison Quinoa Hash,18
7/21/20,Lamar,Veggie Taco Hash,14
7/21/20,Lamar,Turk Meatloaf,8
7/21/20,Lamar,Turkey Chili,12
7/21/20,Lamar,Turkey Bolognese,14
7/21/20,Lamar,Turkey Quinoa Hash,12
7/21/20,Lamar,Chicken Fried Broccoli Rice,15
7/21/20,Lamar,Grass-Fed Beef Taco Hash,10
7/21/20,Lamar,Turkey Meatloaf Rice and Beans Large,10
7/21/20,Lamar,Spaghetti Bolognese Large,10
7/21/20,Lamar,Pesto Chicken Pasta Large,10
7/21/20,Lamar,Chicken W Sweet Pot and Green Beans Large,12
7/21/20,Lamar,Chicken Chili Enchiladas with Rice Large,12
7/22/20,Lamar,Bison Quinoa Hash,30
7/22/20,Lamar,Veggie Taco Hash,25
7/22/20,Lamar,Turk Meatloaf,18
7/22/20,Lamar,Turkey Chili,20
7/22/20,Lamar,Turkey Bolognese,24
7/22/20,Lamar,Turkey Quinoa Hash,22
7/22/20,Lamar,Chicken Fried Broccoli Rice,22
7/22/20,Lamar,Grass-Fed Beef Taco Hash,16
7/22/20,Lamar,Turkey Meatloaf Rice and Beans Large,16
7/22/20,Lamar,Spaghetti Bolognese Large,16
7/22/20,Lamar,Pesto Chicken Pasta Large,17
7/22/20,Lamar,Chicken W Sweet Pot and Green Beans Large,19
7/22/20,Lamar,Chicken Chili Enchiladas with Rice Large,18
7/24/20,Lamar,Bison Quinoa Hash,26
7/24/20,Lamar,Veggie Taco Hash,26
7/24/20,Lamar,Turk Meatloaf,14
7/24/20,Lamar,Turkey Chili,19
7/24/20,Lamar,Turkey Bolognese,26
7/24/20,Lamar,Turkey Quinoa Hash,20
7/24/20,Lamar,Chicken Fried Broccoli Rice,26
7/24/20,Lamar,Grass-Fed Beef Taco Hash,18
7/24/20,Lamar,Turkey Meatloaf Rice and Beans Large,14
7/24/20,Lamar,Spaghetti Bolognese Large,14
7/24/20,Lamar,Pesto Chicken Pasta Large,12
7/24/20,Lamar,Chicken W Sweet Pot and Green Beans Large,20
7/24/20,Lamar,Chicken Chili Enchiladas with Rice Large,18
6/10/20,Mandeville,Bison Quinoa Hash,2
6/10/20,Mandeville,Veggie Taco Hash,3
6/10/20,Mandeville,Turk Meatloaf,2
6/10/20,Mandeville,Turkey Chili,2
6/10/20,Mandeville,Turkey Bolognese,2
6/10/20,Mandeville,Turkey Quinoa Hash,3
6/10/20,Mandeville,Chicken Fried Broccoli Rice,4
6/10/20,Mandeville,Grass-Fed Beef Taco Hash,3
6/10/20,Mandeville,Turkey Meatloaf Rice and Beans Large,1
6/10/20,Mandeville,Spaghetti Bolognese Large,2
6/10/20,Mandeville,Pesto Chicken Pasta Large,1
6/10/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
6/10/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/12/20,Mandeville,Bison Quinoa Hash,3
6/12/20,Mandeville,Veggie Taco Hash,4
6/12/20,Mandeville,Turk Meatloaf,1
6/12/20,Mandeville,Turkey Chili,3
6/12/20,Mandeville,Turkey Bolognese,3
6/12/20,Mandeville,Turkey Quinoa Hash,3
6/12/20,Mandeville,Chicken Fried Broccoli Rice,4
6/12/20,Mandeville,Grass-Fed Beef Taco Hash,5
6/12/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
6/12/20,Mandeville,Spaghetti Bolognese Large,1
6/12/20,Mandeville,Pesto Chicken Pasta Large,3
6/12/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
6/12/20,Mandeville,Chicken Chili Enchiladas with Rice Large,5
6/14/20,Mandeville,Bison Quinoa Hash,2
6/14/20,Mandeville,Veggie Taco Hash,2
6/14/20,Mandeville,Turk Meatloaf,2
6/14/20,Mandeville,Turkey Chili,2
6/14/20,Mandeville,Turkey Bolognese,2
6/14/20,Mandeville,Turkey Quinoa Hash,2
6/14/20,Mandeville,Chicken Fried Broccoli Rice,2
6/14/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/14/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
6/14/20,Mandeville,Spaghetti Bolognese Large,2
6/14/20,Mandeville,Pesto Chicken Pasta Large,2
6/14/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
6/14/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/16/20,Mandeville,Bison Quinoa Hash,1
6/16/20,Mandeville,Veggie Taco Hash,2
6/16/20,Mandeville,Turk Meatloaf,1
6/16/20,Mandeville,Turkey Chili,2
6/16/20,Mandeville,Turkey Bolognese,2
6/16/20,Mandeville,Turkey Quinoa Hash,2
6/16/20,Mandeville,Chicken Fried Broccoli Rice,1
6/16/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/16/20,Mandeville,Turkey Meatloaf Rice and Beans Large,3
6/16/20,Mandeville,Spaghetti Bolognese Large,2
6/16/20,Mandeville,Pesto Chicken Pasta Large,1
6/16/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,1
6/16/20,Mandeville,Chicken Chili Enchiladas with Rice Large,1
6/17/20,Mandeville,Bison Quinoa Hash,2
6/17/20,Mandeville,Veggie Taco Hash,3
6/17/20,Mandeville,Turk Meatloaf,2
6/17/20,Mandeville,Turkey Chili,2
6/17/20,Mandeville,Turkey Bolognese,3
6/17/20,Mandeville,Turkey Quinoa Hash,2
6/17/20,Mandeville,Chicken Fried Broccoli Rice,3
6/17/20,Mandeville,Grass-Fed Beef Taco Hash,3
6/17/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
6/17/20,Mandeville,Spaghetti Bolognese Large,3
6/17/20,Mandeville,Pesto Chicken Pasta Large,2
6/17/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
6/17/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/19/20,Mandeville,Bison Quinoa Hash,3
6/19/20,Mandeville,Veggie Taco Hash,5
6/19/20,Mandeville,Turk Meatloaf,1
6/19/20,Mandeville,Turkey Chili,3
6/19/20,Mandeville,Turkey Bolognese,3
6/19/20,Mandeville,Turkey Quinoa Hash,3
6/19/20,Mandeville,Chicken Fried Broccoli Rice,4
6/19/20,Mandeville,Grass-Fed Beef Taco Hash,5
6/19/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
6/19/20,Mandeville,Spaghetti Bolognese Large,3
6/19/20,Mandeville,Pesto Chicken Pasta Large,3
6/19/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,5
6/19/20,Mandeville,Chicken Chili Enchiladas with Rice Large,5
6/21/20,Mandeville,Bison Quinoa Hash,2
6/21/20,Mandeville,Veggie Taco Hash,2
6/21/20,Mandeville,Turk Meatloaf,2
6/21/20,Mandeville,Turkey Chili,2
6/21/20,Mandeville,Turkey Bolognese,2
6/21/20,Mandeville,Turkey Quinoa Hash,2
6/21/20,Mandeville,Chicken Fried Broccoli Rice,2
6/21/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/21/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
6/21/20,Mandeville,Spaghetti Bolognese Large,2
6/21/20,Mandeville,Pesto Chicken Pasta Large,2
6/21/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
6/21/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/23/20,Mandeville,Bison Quinoa Hash,1
6/23/20,Mandeville,Veggie Taco Hash,2
6/23/20,Mandeville,Turk Meatloaf,1
6/23/20,Mandeville,Turkey Chili,2
6/23/20,Mandeville,Turkey Bolognese,2
6/23/20,Mandeville,Turkey Quinoa Hash,2
6/23/20,Mandeville,Chicken Fried Broccoli Rice,1
6/23/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/23/20,Mandeville,Turkey Meatloaf Rice and Beans Large,3
6/23/20,Mandeville,Spaghetti Bolognese Large,2
6/23/20,Mandeville,Pesto Chicken Pasta Large,1
6/23/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
6/23/20,Mandeville,Chicken Chili Enchiladas with Rice Large,1
6/24/20,Mandeville,Bison Quinoa Hash,2
6/24/20,Mandeville,Veggie Taco Hash,4
6/24/20,Mandeville,Turk Meatloaf,2
6/24/20,Mandeville,Turkey Chili,3
6/24/20,Mandeville,Turkey Bolognese,3
6/24/20,Mandeville,Turkey Quinoa Hash,2
6/24/20,Mandeville,Chicken Fried Broccoli Rice,3
6/24/20,Mandeville,Grass-Fed Beef Taco Hash,3
6/24/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
6/24/20,Mandeville,Spaghetti Bolognese Large,3
6/24/20,Mandeville,Pesto Chicken Pasta Large,2
6/24/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
6/24/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/26/20,Mandeville,Bison Quinoa Hash,3
6/26/20,Mandeville,Veggie Taco Hash,8
6/26/20,Mandeville,Turk Meatloaf,3
6/26/20,Mandeville,Turkey Chili,3
6/26/20,Mandeville,Turkey Bolognese,3
6/26/20,Mandeville,Turkey Quinoa Hash,3
6/26/20,Mandeville,Chicken Fried Broccoli Rice,5
6/26/20,Mandeville,Grass-Fed Beef Taco Hash,5
6/26/20,Mandeville,Turkey Meatloaf Rice and Beans Large,4
6/26/20,Mandeville,Spaghetti Bolognese Large,4
6/26/20,Mandeville,Pesto Chicken Pasta Large,5
6/26/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,6
6/26/20,Mandeville,Chicken Chili Enchiladas with Rice Large,5
6/28/20,Mandeville,Bison Quinoa Hash,2
6/28/20,Mandeville,Veggie Taco Hash,2
6/28/20,Mandeville,Turk Meatloaf,1
6/28/20,Mandeville,Turkey Chili,2
6/28/20,Mandeville,Turkey Bolognese,2
6/28/20,Mandeville,Turkey Quinoa Hash,2
6/28/20,Mandeville,Chicken Fried Broccoli Rice,1
6/28/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/28/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
6/28/20,Mandeville,Spaghetti Bolognese Large,1
6/28/20,Mandeville,Pesto Chicken Pasta Large,2
6/28/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,3
6/28/20,Mandeville,Chicken Chili Enchiladas with Rice Large,2
6/30/20,Mandeville,Bison Quinoa Hash,2
6/30/20,Mandeville,Veggie Taco Hash,2
6/30/20,Mandeville,Turk Meatloaf,1
6/30/20,Mandeville,Turkey Chili,2
6/30/20,Mandeville,Turkey Bolognese,1
6/30/20,Mandeville,Turkey Quinoa Hash,2
6/30/20,Mandeville,Chicken Fried Broccoli Rice,1
6/30/20,Mandeville,Grass-Fed Beef Taco Hash,2
6/30/20,Mandeville,Turkey Meatloaf Rice and Beans Large,2
6/30/20,Mandeville,Spaghetti Bolognese Large,1
6/30/20,Mandeville,Pesto Chicken Pasta Large,1
6/30/20,Mandeville,Chicken W Sweet Pot and Green Beans Large,2
6/30/20,Mandeville,Chicken Chili Enchiladas with Rice Large,1
7/1/20,Mandeville,Bison Quinoa Hash,3
7/1/20,Mandeville,Veggie Taco Hash,4
7/1/20,Mandeville,Turk Meatloaf,2
7/1/20,Mandeville,Turkey Chili,3
7/1/20,Mandeville,Turkey Bolognese,3
7/1/20,Mandeville,Turkey Quinoa Hash,2
7/1/20,Mandeville,Chicken Fried Broccoli Rice,3
7/1/20,Mandeville,Grass-Fed Beef Taco Hash,3
7/1/20,Mandeville,Turkey Meatloaf Rice and Beans Large,5
7/1/20,Mandeville,Spaghetti Bolognese Large,3
