Date,Store,Product,Sales
6/15/20,North,Broccoli Cheddar Soup,
6/15/20,North,Kale Salad,2
6/15/20,North,Greek Yogurt,4
6/15/20,North,Ham Sandwich,4
6/16/20,North,Chicken Soup,8
6/16/20,North,Coffee Cake,7
6/16/20,North,Tuna Salad,4
6/16/20,North,Spaghetti and Meatballs,10
6/16/20,North,Turkey Sandwich,7
6/16/20,North,Garlic Hummus,4
6/16/20,North,Vanilla Pudding,7
6/16/20,North,Blueberry Oatmeal,5
6/16/20,North,Tofu Stir Fry,7
6/16/20,North,Broccoli Cheddar Soup,3
6/16/20,North,Kale Salad,6
6/16/20,North,Greek Yogurt,9
6/16/20,North,Ham Sandwich,7
6/17/20,North,Chicken Soup,16
6/17/20,North,Coffee Cake,10
6/17/20,North,Tuna Salad,5
6/17/20,North,Spaghetti and Meatballs,3
6/17/20,North,Turkey Sandwich,4
6/17/20,North,Garlic Hummus,2
6/17/20,North,Vanilla Pudding,8
6/17/20,North,Blueberry Oatmeal,7
6/17/20,North,Tofu Stir Fry,3
6/17/20,North,Broccoli Cheddar Soup,9
6/17/20,North,Kale Salad,5
6/17/20,North,Greek Yogurt,11
6/17/20,North,Ham Sandwich,4
6/18/20,North,Chicken Soup,5
6/18/20,North,Coffee Cake,7
6/18/20,North,Tuna Salad,5
6/18/20,North,Spaghetti and Meatballs,9
6/18/20,North,Turkey Sandwich,15
6/18/20,North,Garlic Hummus,10
6/18/20,North,Vanilla Pudding,11
6/18/20,North,Blueberry Oatmeal,5
6/18/20,North,Tofu Stir Fry,8
6/18/20,North,Broccoli Cheddar Soup,1
6/18/20,North,Kale Salad,3
6/18/20,North,Greek Yogurt,2
6/18/20,North,Ham Sandwich,6
6/19/20,North,Chicken Soup,8
6/19/20,North,Coffee Cake,7
6/19/20,North,Tuna Salad,4
6/19/20,North,Spaghetti and Meatballs,1
6/19/20,North,Turkey Sandwich,8
6/19/20,North,Garlic Hummus,3
6/19/20,North,Vanilla Pudding,1
6/19/20,North,Blueberry Oatmeal,2
6/19/20,North,Tofu Stir Fry,4
6/19/20,North,Broccoli Cheddar Soup,3
6/19/20,North,Kale Salad,2
6/19/20,North,Greek Yogurt,2
6/19/20,North,Ham Sandwich,3
6/20/20,North,Chicken Soup,9
6/20/20,North,Coffee Cake,9
6/20/20,North,Tuna Salad,1
6/20/20,North,Spaghetti and Meatballs,12
6/20/20,North,Turkey Sandwich,9
6/20/20,North,Garlic Hummus,5
6/20/20,North,Vanilla Pudding,4
6/20/20,North,Blueberry Oatmeal,4
6/20/20,North,Tofu Stir Fry,4
6/20/20,North,Broccoli Cheddar Soup,3
6/20/20,North,Kale Salad,1
6/20/20,North,Greek Yogurt,3
6/20/20,North,Ham Sandwich,4
6/21/20,North,Chicken Soup,3
6/21/20,North,Coffee Cake,9
6/21/20,North,Tuna Salad,4
6/21/20,North,Spaghetti and Meatballs,6
6/21/20,North,Turkey Sandwich,16
6/21/20,North,Garlic Hummus,13
6/21/20,North,Vanilla Pudding,9
6/21/20,North,Blueberry Oatmeal,9
6/21/20,North,Tofu Stir Fry,6
6/21/20,North,Broccoli Cheddar Soup,3
6/21/20,North,Kale Salad,2
6/21/20,North,Greek Yogurt,8
6/21/20,North,Ham Sandwich,7
6/22/20,North,Chicken Soup,13
6/22/20,North,Coffee Cake,10
6/22/20,North,Tuna Salad,6
6/22/20,North,Spaghetti and Meatballs,10
6/22/20,North,Turkey Sandwich,8
6/22/20,North,Garlic Hummus,1
6/22/20,North,Vanilla Pudding,8
6/22/20,North,Blueberry Oatmeal,10
6/22/20,North,Tofu Stir Fry,3
6/22/20,North,Broccoli Cheddar Soup,10
6/22/20,North,Kale Salad,6
6/22/20,North,Greek Yogurt,10
6/22/20,North,Ham Sandwich,6
6/23/20,North,Chicken Soup,15
6/23/20,North,Coffee Cake,6
6/23/20,North,Tuna Salad,1
6/23/20,North,Spaghetti and Meatballs,11
6/23/20,North,Turkey Sandwich,6
6/23/20,North,Garlic Hummus,8
6/23/20,North,Vanilla Pudding,13
6/23/20,North,Blueberry Oatmeal,4
6/23/20,North,Tofu Stir Fry,7
6/23/20,North,Broccoli Cheddar Soup,5
6/23/20,North,Kale Salad,4
6/23/20,North,Greek Yogurt,6
6/23/20,North,Ham Sandwich,4
6/24/20,North,Chicken Soup,8
6/24/20,North,Coffee Cake,5
6/24/20,North,Tuna Salad,1
6/24/20,North,Spaghetti and Meatballs,4
6/24/20,North,Turkey Sandwich,6
6/24/20,North,Garlic Hummus,2
6/24/20,North,Vanilla Pudding,7
6/24/20,North,Blueberry Oatmeal,4
6/24/20,North,Tofu Stir Fry,3
6/24/20,North,Broccoli Cheddar Soup,3
6/24/20,North,Kale Salad,6
6/24/20,North,Greek Yogurt,10
6/24/20,North,Ham Sandwich,6
6/25/20,North,Chicken Soup,8
6/25/20,North,Coffee Cake,12
6/25/20,North,Tuna Salad,4
6/25/20,North,Spaghetti and Meatballs,8
6/25/20,North,Turkey Sandwich,8
6/25/20,North,Garlic Hummus,4
6/25/20,North,Vanilla Pudding,6
6/25/20,North,Blueberry Oatmeal,6
6/25/20,North,Tofu Stir Fry,2
6/25/20,North,Broccoli Cheddar Soup,4
6/25/20,North,Kale Salad,7
6/25/20,North,Greek Yogurt,2
6/25/20,North,Ham Sandwich,2
6/26/20,North,Chicken Soup,11
6/26/20,North,Coffee Cake,9
6/26/20,North,Tuna Salad,6
6/26/20,North,Spaghetti and Meatballs,6
6/26/20,North,Turkey Sandwich,7
6/26/20,North,Garlic Hummus,5
6/26/20,North,Vanilla Pudding,8
6/26/20,North,Blueberry Oatmeal,7
6/26/20,North,Tofu Stir Fry,6
6/26/20,North,Broccoli Cheddar Soup,2
6/26/20,North,Kale Salad,5
6/26/20,North,Greek Yogurt,5
6/26/20,North,Ham Sandwich,9
6/27/20,North,Chicken Soup,2
6/27/20,North,Coffee Cake,13
6/27/20,North,Tuna Salad,3
6/27/20,North,Spaghetti and Meatballs,3
6/27/20,North,Turkey Sandwich,6
6/27/20,North,Garlic Hummus,5
6/27/20,North,Vanilla Pudding,7
6/27/20,North,Blueberry Oatmeal,4
6/27/20,North,Tofu Stir Fry,2
6/27/20,North,Broccoli Cheddar Soup,6
6/27/20,North,Kale Salad,5
6/27/20,North,Greek Yogurt,5
6/27/20,North,Ham Sandwich,3
6/28/20,North,Chicken Soup,19
6/28/20,North,Coffee Cake,11
6/28/20,North,Tuna Salad,7
6/28/20,North,Spaghetti and Meatballs,14
6/28/20,North,Turkey Sandwich,15
6/28/20,North,Garlic Hummus,12
6/28/20,North,Vanilla Pudding,12
6/28/20,North,Blueberry Oatmeal,13
6/28/20,North,Tofu Stir Fry,4
6/28/20,North,Broccoli Cheddar Soup,9
6/28/20,North,Kale Salad,4
6/28/20,North,Greek Yogurt,12
6/28/20,North,Ham Sandwich,10
6/29/20,North,Chicken Soup,3
6/29/20,North,Coffee Cake,0
6/29/20,North,Tuna Salad,2
6/29/20,North,Spaghetti and Meatballs,8
6/29/20,North,Turkey Sandwich,10
6/29/20,North,Garlic Hummus,3
6/29/20,North,Vanilla Pudding,14
6/29/20,North,Blueberry Oatmeal,6
6/29/20,North,Tofu Stir Fry,6
6/29/20,North,Broccoli Cheddar Soup,7
6/29/20,North,Kale Salad,8
6/29/20,North,Greek Yogurt,5
6/29/20,North,Ham Sandwich,1
6/30/20,North,Chicken Soup,6
6/30/20,North,Coffee Cake,9
6/30/20,North,Tuna Salad,1
6/30/20,North,Spaghetti and Meatballs,7
6/30/20,North,Turkey Sandwich,6
6/30/20,North,Garlic Hummus,2
6/30/20,North,Vanilla Pudding,5
6/30/20,North,Blueberry Oatmeal,3
6/30/20,North,Tofu Stir Fry,2
6/30/20,North,Broccoli Cheddar Soup,4
6/30/20,North,Kale Salad,8
6/30/20,North,Greek Yogurt,6
6/30/20,North,Ham Sandwich,8
7/1/20,North,Chicken Soup,15
7/1/20,North,Coffee Cake,13
7/1/20,North,Tuna Salad,5
7/1/20,North,Spaghetti and Meatballs,3
7/1/20,North,Turkey Sandwich,9
7/1/20,North,Garlic Hummus,9
7/1/20,North,Vanilla Pudding,8
7/1/20,North,Blueberry Oatmeal,7
7/1/20,North,Tofu Stir Fry,3
7/1/20,North,Broccoli Cheddar Soup,4
7/1/20,North,Kale Salad,7
7/1/20,North,Greek Yogurt,10
7/1/20,North,Ham Sandwich,9
7/2/20,North,Chicken Soup,7
7/2/20,North,Coffee Cake,1
7/2/20,North,Tuna Salad,6
7/2/20,North,Spaghetti and Meatballs,4
7/2/20,North,Turkey Sandwich,9
7/2/20,North,Garlic Hummus,1
7/2/20,North,Vanilla Pudding,8
7/2/20,North,Blueberry Oatmeal,1
7/2/20,North,Tofu Stir Fry,3
7/2/20,North,Broccoli Cheddar Soup,3
7/2/20,North,Kale Salad,3
7/2/20,North,Greek Yogurt,4
7/2/20,North,Ham Sandwich,
7/3/20,North,Chicken Soup,7
7/3/20,North,Coffee Cake,10
7/3/20,North,Tuna Salad,8
7/3/20,North,Spaghetti and Meatballs,6
7/3/20,North,Turkey Sandwich,8
7/3/20,North,Garlic Hummus,7
7/3/20,North,Vanilla Pudding,6
7/3/20,North,Blueberry Oatmeal,3
7/3/20,North,Tofu Stir Fry,4
7/3/20,North,Broccoli Cheddar Soup,3
7/3/20,North,Kale Salad,5
7/3/20,North,Greek Yogurt,4
7/3/20,North,Ham Sandwich,6
7/4/20,North,Chicken Soup,6
7/4/20,North,Coffee Cake,3
7/4/20,North,Tuna Salad,1
7/4/20,North,Spaghetti and Meatballs,2
7/4/20,North,Turkey Sandwich,4
7/4/20,North,Garlic Hummus,6
7/4/20,North,Vanilla Pudding,3
7/4/20,North,Blueberry Oatmeal,6
7/4/20,North,Tofu Stir Fry,4
7/4/20,North,Broccoli Cheddar Soup,2
7/4/20,North,Kale Salad,
7/4/20,North,Greek Yogurt,2
7/4/20,North,Ham Sandwich,
7/5/20,North,Chicken Soup,12
7/5/20,North,Coffee Cake,13
7/5/20,North,Tuna Salad,6
7/5/20,North,Spaghetti and Meatballs,7
7/5/20,North,Turkey Sandwich,12
7/5/20,North,Garlic Hummus,7
7/5/20,North,Vanilla Pudding,8
7/5/20,North,Blueberry Oatmeal,8
7/5/20,North,Tofu Stir Fry,7
7/5/20,North,Broccoli Cheddar Soup,4
7/5/20,North,Kale Salad,8
7/5/20,North,Greek Yogurt,12
7/5/20,North,Ham Sandwich,8
7/6/20,North,Chicken Soup,9
7/6/20,North,Coffee Cake,9
7/6/20,North,Tuna Salad,5
7/6/20,North,Spaghetti and Meatballs,11
7/6/20,North,Turkey Sandwich,10
7/6/20,North,Garlic Hummus,8
7/6/20,North,Vanilla Pudding,16
7/6/20,North,Blueberry Oatmeal,11
7/6/20,North,Tofu Stir Fry,6
7/6/20,North,Broccoli Cheddar Soup,10
7/6/20,North,Kale Salad,6
7/6/20,North,Greek Yogurt,5
7/6/20,North,Ham Sandwich,6
7/7/20,North,Chicken Soup,14
7/7/20,North,Coffee Cake,13
7/7/20,North,Tuna Salad,9
7/7/20,North,Spaghetti and Meatballs,15
7/7/20,North,Turkey Sandwich,9
7/7/20,North,Garlic Hummus,11
7/7/20,North,Vanilla Pudding,16
7/7/20,North,Blueberry Oatmeal,11
7/7/20,North,Tofu Stir Fry,1
7/7/20,North,Broccoli Cheddar Soup,4
7/7/20,North,Kale Salad,5
7/7/20,North,Greek Yogurt,11
7/7/20,North,Ham Sandwich,10
7/8/20,North,Chicken Soup,22
7/8/20,North,Coffee Cake,13
7/8/20,North,Tuna Salad,3
7/8/20,North,Spaghetti and Meatballs,11
7/8/20,North,Turkey Sandwich,8
7/8/20,North,Garlic Hummus,14
7/8/20,North,Vanilla Pudding,13
7/8/20,North,Blueberry Oatmeal,12
7/8/20,North,Tofu Stir Fry,15
7/8/20,North,Broccoli Cheddar Soup,10
7/8/20,North,Kale Salad,15
7/8/20,North,Greek Yogurt,12
7/8/20,North,Ham Sandwich,11
7/9/20,North,Chicken Soup,8
7/9/20,North,Coffee Cake,5
7/9/20,North,Tuna Salad,6
7/9/20,North,Spaghetti and Meatballs,7
7/9/20,North,Turkey Sandwich,8
7/9/20,North,Garlic Hummus,0
7/9/20,North,Vanilla Pudding,4
7/9/20,North,Blueberry Oatmeal,3
7/9/20,North,Tofu Stir Fry,8
7/9/20,North,Broccoli Cheddar Soup,5
7/9/20,North,Kale Salad,4
7/9/20,North,Greek Yogurt,4
7/9/20,North,Ham Sandwich,6
7/10/20,North,Chicken Soup,9
7/10/20,North,Coffee Cake,9
7/10/20,North,Tuna Salad,6
7/10/20,North,Spaghetti and Meatballs,4
7/10/20,North,Turkey Sandwich,7
7/10/20,North,Garlic Hummus,8
7/10/20,North,Vanilla Pudding,13
7/10/20,North,Blueberry Oatmeal,7
7/10/20,North,Tofu Stir Fry,7
7/10/20,North,Broccoli Cheddar Soup,5
7/10/20,North,Kale Salad,4
7/10/20,North,Greek Yogurt,11
7/10/20,North,Ham Sandwich,5
7/11/20,North,Chicken Soup,12
7/11/20,North,Coffee Cake,8
7/11/20,North,Tuna Salad,4
7/11/20,North,Spaghetti and Meatballs,4
7/11/20,North,Turkey Sandwich,9
7/11/20,North,Garlic Hummus,8
7/11/20,North,Vanilla Pudding,5
7/11/20,North,Blueberry Oatmeal,7
7/11/20,North,Tofu Stir Fry,6
7/11/20,North,Broccoli Cheddar Soup,6
7/11/20,North,Kale Salad,3
7/11/20,North,Greek Yogurt,3
7/11/20,North,Ham Sandwich,4
7/12/20,North,Chicken Soup,10
7/12/20,North,Coffee Cake,14
7/12/20,North,Tuna Salad,4
7/12/20,North,Spaghetti and Meatballs,15
7/12/20,North,Turkey Sandwich,14
7/12/20,North,Garlic Hummus,14
7/12/20,North,Vanilla Pudding,20
7/12/20,North,Blueberry Oatmeal,9
7/12/20,North,Tofu Stir Fry,12
7/12/20,North,Broccoli Cheddar Soup,8
7/12/20,North,Kale Salad,8
7/12/20,North,Greek Yogurt,15
7/12/20,North,Ham Sandwich,10
7/13/20,North,Chicken Soup,10
7/13/20,North,Coffee Cake,13
7/13/20,North,Tuna Salad,11
7/13/20,North,Spaghetti and Meatballs,12
7/13/20,North,Turkey Sandwich,16
7/13/20,North,Garlic Hummus,3
7/13/20,North,Vanilla Pudding,4
7/13/20,North,Blueberry Oatmeal,6
7/13/20,North,Tofu Stir Fry,2
7/13/20,North,Broccoli Cheddar Soup,10
7/13/20,North,Kale Salad,9
7/13/20,North,Greek Yogurt,4
7/13/20,North,Ham Sandwich,9
7/14/20,North,Chicken Soup,7
7/14/20,North,Coffee Cake,9
7/14/20,North,Tuna Salad,5
7/14/20,North,Spaghetti and Meatballs,10
7/14/20,North,Turkey Sandwich,10
7/14/20,North,Garlic Hummus,7
7/14/20,North,Vanilla Pudding,12
7/14/20,North,Blueberry Oatmeal,9
7/14/20,North,Tofu Stir Fry,11
7/14/20,North,Broccoli Cheddar Soup,11
7/14/20,North,Kale Salad,2
7/14/20,North,Greek Yogurt,10
7/14/20,North,Ham Sandwich,8
7/15/20,North,Chicken Soup,14
7/15/20,North,Coffee Cake,6
7/15/20,North,Tuna Salad,9
7/15/20,North,Spaghetti and Meatballs,6
7/15/20,North,Turkey Sandwich,9
7/15/20,North,Garlic Hummus,18
7/15/20,North,Vanilla Pudding,10
7/15/20,North,Blueberry Oatmeal,7
7/15/20,North,Tofu Stir Fry,11
7/15/20,North,Broccoli Cheddar Soup,8
7/15/20,North,Kale Salad,9
7/15/20,North,Greek Yogurt,13
7/15/20,North,Ham Sandwich,9
7/16/20,North,Chicken Soup,12
7/16/20,North,Coffee Cake,10
7/16/20,North,Tuna Salad,3
7/16/20,North,Spaghetti and Meatballs,8
7/16/20,North,Turkey Sandwich,9
7/16/20,North,Garlic Hummus,4
7/16/20,North,Vanilla Pudding,12
7/16/20,North,Blueberry Oatmeal,11
7/16/20,North,Tofu Stir Fry,5
7/16/20,North,Broccoli Cheddar Soup,4
7/16/20,North,Kale Salad,5
7/16/20,North,Greek Yogurt,6
7/16/20,North,Ham Sandwich,6
7/17/20,North,Chicken Soup,3
7/17/20,North,Coffee Cake,10
7/17/20,North,Tuna Salad,3
7/17/20,North,Spaghetti and Meatballs,5
7/17/20,North,Turkey Sandwich,9
7/17/20,North,Garlic Hummus,1
7/17/20,North,Vanilla Pudding,7
7/17/20,North,Blueberry Oatmeal,5
7/17/20,North,Tofu Stir Fry,3
7/17/20,North,Broccoli Cheddar Soup,3
7/17/20,North,Kale Salad,4
7/17/20,North,Greek Yogurt,5
7/17/20,North,Ham Sandwich,2
7/18/20,North,Chicken Soup,11
7/18/20,North,Coffee Cake,8
7/18/20,North,Tuna Salad,2
7/18/20,North,Spaghetti and Meatballs,5
7/18/20,North,Turkey Sandwich,8
7/18/20,North,Garlic Hummus,4
7/18/20,North,Vanilla Pudding,5
7/18/20,North,Blueberry Oatmeal,5
7/18/20,North,Tofu Stir Fry,3
7/18/20,North,Broccoli Cheddar Soup,2
7/18/20,North,Kale Salad,4
7/18/20,North,Greek Yogurt,6
7/18/20,North,Ham Sandwich,6
7/19/20,North,Chicken Soup,12
7/19/20,North,Coffee Cake,16
7/19/20,North,Tuna Salad,9
7/19/20,North,Spaghetti and Meatballs,8
7/19/20,North,Turkey Sandwich,17
7/19/20,North,Garlic Hummus,18
7/19/20,North,Vanilla Pudding,22
7/19/20,North,Blueberry Oatmeal,9
7/19/20,North,Tofu Stir Fry,14
7/19/20,North,Broccoli Cheddar Soup,9
7/19/20,North,Kale Salad,5
7/19/20,North,Greek Yogurt,12
7/19/20,North,Ham Sandwich,10
6/10/20,South,Chicken Soup,
6/10/20,South,Coffee Cake,
6/10/20,South,Tuna Salad,
6/10/20,South,Spaghetti and Meatballs,
6/10/20,South,Turkey Sandwich,
6/10/20,South,Garlic Hummus,
6/10/20,South,Vanilla Pudding,
6/10/20,South,Blueberry Oatmeal,
6/10/20,South,Tofu Stir Fry,
6/10/20,South,Broccoli Cheddar Soup,1
6/10/20,South,Kale Salad,1
6/10/20,South,Greek Yogurt,
6/10/20,South,Ham Sandwich,
6/11/20,South,Chicken Soup,1
6/11/20,South,Coffee Cake,2
6/11/20,South,Tuna Salad,
6/11/20,South,Spaghetti and Meatballs,
6/11/20,South,Turkey Sandwich,
6/11/20,South,Garlic Hummus,1
6/11/20,South,Vanilla Pudding,
6/11/20,South,Blueberry Oatmeal,
6/11/20,South,Tofu Stir Fry,
6/11/20,South,Broccoli Cheddar Soup,
6/11/20,South,Kale Salad,
6/11/20,South,Greek Yogurt,1
6/11/20,South,Ham Sandwich,
6/12/20,South,Chicken Soup,
6/12/20,South,Coffee Cake,3
6/12/20,South,Tuna Salad,
6/12/20,South,Spaghetti and Meatballs,
6/12/20,South,Turkey Sandwich,
6/12/20,South,Garlic Hummus,
6/12/20,South,Vanilla Pudding,
6/12/20,South,Blueberry Oatmeal,
6/12/20,South,Tofu Stir Fry,
6/12/20,South,Broccoli Cheddar Soup,1
6/12/20,South,Kale Salad,
6/12/20,South,Greek Yogurt,2
6/12/20,South,Ham Sandwich,
6/13/20,South,Chicken Soup,
6/13/20,South,Coffee Cake,
6/13/20,South,Tuna Salad,1
6/13/20,South,Spaghetti and Meatballs,
6/13/20,South,Turkey Sandwich,
6/13/20,South,Garlic Hummus,
6/13/20,South,Vanilla Pudding,1
6/13/20,South,Blueberry Oatmeal,
6/13/20,South,Tofu Stir Fry,
6/13/20,South,Broccoli Cheddar Soup,
6/13/20,South,Kale Salad,
6/13/20,South,Greek Yogurt,
6/13/20,South,Ham Sandwich,
6/14/20,South,Chicken Soup,
6/14/20,South,Coffee Cake,2
6/14/20,South,Tuna Salad,
6/14/20,South,Spaghetti and Meatballs,
6/14/20,South,Turkey Sandwich,
6/14/20,South,Garlic Hummus,1
6/14/20,South,Vanilla Pudding,1
6/14/20,South,Blueberry Oatmeal,1
6/14/20,South,Tofu Stir Fry,1
6/14/20,South,Broccoli Cheddar Soup,
6/14/20,South,Kale Salad,2
6/14/20,South,Greek Yogurt,2
6/14/20,South,Ham Sandwich,
6/15/20,South,Chicken Soup,3
6/15/20,South,Coffee Cake,1
6/15/20,South,Tuna Salad,
6/15/20,South,Spaghetti and Meatballs,
6/15/20,South,Turkey Sandwich,1
6/15/20,South,Garlic Hummus,1
6/15/20,South,Vanilla Pudding,1
6/15/20,South,Blueberry Oatmeal,2
6/15/20,South,Tofu Stir Fry,
6/15/20,South,Broccoli Cheddar Soup,
6/15/20,South,Kale Salad,
6/15/20,South,Greek Yogurt,
6/15/20,South,Ham Sandwich,1
6/16/20,South,Chicken Soup,1
6/16/20,South,Coffee Cake,
6/16/20,South,Tuna Salad,
6/16/20,South,Spaghetti and Meatballs,
6/16/20,South,Turkey Sandwich,1
6/16/20,South,Garlic Hummus,
6/16/20,South,Vanilla Pudding,
6/16/20,South,Blueberry Oatmeal,
6/16/20,South,Tofu Stir Fry,
6/16/20,South,Broccoli Cheddar Soup,
6/16/20,South,Kale Salad,1
6/16/20,South,Greek Yogurt,3
6/16/20,South,Ham Sandwich,1
6/17/20,South,Chicken Soup,
6/17/20,South,Coffee Cake,
6/17/20,South,Tuna Salad,1
6/17/20,South,Spaghetti and Meatballs,2
6/17/20,South,Turkey Sandwich,
6/17/20,South,Garlic Hummus,
6/17/20,South,Vanilla Pudding,1
6/17/20,South,Blueberry Oatmeal,
6/17/20,South,Tofu Stir Fry,
6/17/20,South,Broccoli Cheddar Soup,
6/17/20,South,Kale Salad,1
6/17/20,South,Greek Yogurt,
6/17/20,South,Ham Sandwich,
6/18/20,South,Chicken Soup,2
6/18/20,South,Coffee Cake,1
6/18/20,South,Tuna Salad,
6/18/20,South,Spaghetti and Meatballs,
6/18/20,South,Turkey Sandwich,
6/18/20,South,Garlic Hummus,1
6/18/20,South,Vanilla Pudding,
6/18/20,South,Blueberry Oatmeal,2
6/18/20,South,Tofu Stir Fry,
6/18/20,South,Broccoli Cheddar Soup,
6/18/20,South,Kale Salad,
6/18/20,South,Greek Yogurt,
6/18/20,South,Ham Sandwich,
6/19/20,South,Chicken Soup,
6/19/20,South,Coffee Cake,
6/19/20,South,Tuna Salad,
6/19/20,South,Spaghetti and Meatballs,
6/19/20,South,Turkey Sandwich,1
6/19/20,South,Garlic Hummus,
6/19/20,South,Vanilla Pudding,
6/19/20,South,Blueberry Oatmeal,
6/19/20,South,Tofu Stir Fry,
6/19/20,South,Broccoli Cheddar Soup,1
6/19/20,South,Kale Salad,
6/19/20,South,Greek Yogurt,
6/19/20,South,Ham Sandwich,1
6/20/20,South,Chicken Soup,
6/20/20,South,Coffee Cake,3
6/20/20,South,Tuna Salad,
6/20/20,South,Spaghetti and Meatballs,1
6/20/20,South,Turkey Sandwich,1
6/20/20,South,Garlic Hummus,1
6/20/20,South,Vanilla Pudding,2
6/20/20,South,Blueberry Oatmeal,
6/20/20,South,Tofu Stir Fry,1
6/20/20,South,Broccoli Cheddar Soup,
6/20/20,South,Kale Salad,1
6/20/20,South,Greek Yogurt,1
6/20/20,South,Ham Sandwich,1
6/21/20,South,Chicken Soup,1
6/21/20,South,Coffee Cake,1
6/21/20,South,Tuna Salad,
6/21/20,South,Spaghetti and Meatballs,1
6/21/20,South,Turkey Sandwich,
6/21/20,South,Garlic Hummus,
6/21/20,South,Vanilla Pudding,
6/21/20,South,Blueberry Oatmeal,2
6/21/20,South,Tofu Stir Fry,
6/21/20,South,Broccoli Cheddar Soup,
6/21/20,South,Kale Salad,
6/21/20,South,Greek Yogurt,
6/21/20,South,Ham Sandwich,
6/22/20,South,Chicken Soup,
6/22/20,South,Coffee Cake,2
6/22/20,South,Tuna Salad,
6/22/20,South,Spaghetti and Meatballs,
6/22/20,South,Turkey Sandwich,
6/22/20,South,Garlic Hummus,1
6/22/20,South,Vanilla Pudding,
6/22/20,South,Blueberry Oatmeal,
6/22/20,South,Tofu Stir Fry,1
6/22/20,South,Broccoli Cheddar Soup,
6/22/20,South,Kale Salad,1
6/22/20,South,Greek Yogurt,1
6/22/20,South,Ham Sandwich,2
6/23/20,South,Chicken Soup,2
6/23/20,South,Coffee Cake,
6/23/20,South,Tuna Salad,
6/23/20,South,Spaghetti and Meatballs,
6/23/20,South,Turkey Sandwich,
6/23/20,South,Garlic Hummus,
6/23/20,South,Vanilla Pudding,
6/23/20,South,Blueberry Oatmeal,
6/23/20,South,Tofu Stir Fry,
6/23/20,South,Broccoli Cheddar Soup,
6/23/20,South,Kale Salad,2
6/23/20,South,Greek Yogurt,2
6/23/20,South,Ham Sandwich,1
6/24/20,South,Chicken Soup,
6/24/20,South,Coffee Cake,
6/24/20,South,Tuna Salad,
6/24/20,South,Spaghetti and Meatballs,
6/24/20,South,Turkey Sandwich,
6/24/20,South,Garlic Hummus,
6/24/20,South,Vanilla Pudding,
6/24/20,South,Blueberry Oatmeal,
